ID,SpeakerPosition,SpeakerName,ListenerName,DialogueText,NextID,Event,Emotion,Choice1_Text,Choice1_Effect,Choice1_NextID,Choice2_Text,Choice2_Effect,Choice2_NextID,Choice3_Text,Choice3_Effect,Choice3_NextID,Title
0,Left,아리엘,안내원,…...,,,,,,,,,,,,,
1,Left,아리엘,,좀 늦네.,,,,,,,,,,,,,
2,Right,단장,,(안내원이 분주하게 서류 더미를 뒤지고 있다.),,,,,,,,,,,,,
3,Right,단장,,…...,,,,,,,,,,,,,
4,Right,단장,,(조금만 더 기다려보자.),,,,,,,,,,,,,
5,Right,안내원,,"아, 찾았다!",,,,,,,,,,,,,
6,Right,안내원,,"여기, 용병단 직접 지원 의뢰서입니다.",,,,,,,,,,,,,
7,Right,안내원,,두 교단에서 소규모 용병단의 원활한 의뢰 수급을 위해 제공하는 의뢰 서비스죠!,,,,,,,,,,,,,
8,Right,안내원,,…죄송합니다. 요즘 여기저기서 의뢰가 많이 들어와서 서류 정리가 안 되어있네요.,,,,,,,,,,,,,
9,Right,안내원,,여기 빈칸에 의뢰받은 교단이랑 의뢰 참가 인원에 대해 작성하시면 됩니다.,,,,,,,,,,,,,
10,Right,단장,,(안내원이 내민 빈칸과 의뢰 내용이 적힌 서류를 받는다.),,,,,,,,,,,,,
11,Right,단장,,의뢰 내용은… 사이델 왕국에 출몰한 몬스터 처리네.,,,,,,,,,,,,,
12,Left,아리엘,,"잠깐만, 몬스터 처리 의뢰는 3명이 최소 인원 아닌가?",,,,,,,,,,,,,
13,Right,안내원,,"아, 그 문제는 걱정하지 않으셔도 됩니다.",,,,,,,,,,,,,
14,Right,안내원,,저희 길드에서는 미달 인원 1명까지는 길드 소속 용병으로 지원할 수 있게 되어있거든요.,,,,,,,,,,,,,
15,Left,아리엘,,"흠, 다른 의뢰는 없는 거야?",,,,,,,,,,,,,
16,Right,안내원,,네… 예전에 한 오더가 혼자서 소규모 의뢰를 전부 쓸어 담아 지원금을 모두 받아 간 일이 있어서요.,,,,,,,,,,,,,
17,Right,안내원,,그 뒤로는 교단에서 3명 이상의 의뢰만 지원하고 있습니다.,,,,…...,,18,뭐 그런…,,18,,,,
18,Left,아리엘,,그러면… 어쩔 수 없네.,,End,,,,,,,,,,,
